id,price,bedrooms,bathrooms,floors,sqft_living,view,grade,waterfront,yr_built,yr_renovated,lat,long
7129300520,221900.0,3,1.0,1.0,1180,0,7,0,1955,0,47.5112,-122.257
6414100192,538000.0,3,2.25,2.0,2570,0,7,0,1951,1991,47.721000000000004,-122.319
5631500400,180000.0,2,1.0,1.0,770,0,6,0,1933,0,47.7379,-122.23299999999999
2487200875,604000.0,4,3.0,1.0,1960,0,7,0,1965,0,47.5208,-122.39299999999999
1954400510,510000.0,3,2.0,1.0,1680,0,8,0,1987,0,47.6168,-122.045
7237550310,1225000.0,4,4.5,1.0,5420,0,11,0,2001,0,47.6561,-122.005
1321400060,257500.0,3,2.25,2.0,1715,0,7,0,1995,0,47.3097,-122.32700000000001
2008000270,291850.0,3,1.5,1.0,1060,0,7,0,1963,0,47.4095,-122.315
2414600126,229500.0,3,1.0,1.0,1780,0,7,0,1960,0,47.5123,-122.337
3793500160,323000.0,3,2.5,2.0,1890,0,7,0,2003,0,47.3684,-122.031
1736800520,662500.0,3,2.5,1.0,3560,0,8,0,1965,0,47.6007,-122.145
9212900260,468000.0,2,1.0,1.0,1160,0,7,0,1942,0,47.69,-122.292
114101516,310000.0,3,1.0,1.5,1430,0,7,0,1927,0,47.7558,-122.229
6054650070,400000.0,3,1.75,1.0,1370,0,7,0,1977,0,47.6127,-122.045
1175000570,530000.0,5,2.0,1.5,1810,0,7,0,1900,0,47.67,-122.39399999999999
9297300055,650000.0,4,3.0,2.0,2950,3,9,0,1979,0,47.5714,-122.375
1875500060,395000.0,3,2.0,2.0,1890,0,7,0,1994,0,47.7277,-121.962
6865200140,485000.0,4,1.0,1.5,1600,0,7,0,1916,0,47.6648,-122.34299999999999
16000397,189000.0,2,1.0,1.0,1200,0,7,0,1921,0,47.3089,-122.21
7983200060,230000.0,3,1.0,1.0,1250,0,7,0,1969,0,47.3343,-122.306
6300500875,385000.0,4,1.75,1.0,1620,0,7,0,1947,0,47.7025,-122.34100000000001
2524049179,2000000.0,3,2.75,1.0,3050,4,9,0,1968,0,47.5316,-122.23299999999999
7137970340,285000.0,5,2.5,2.0,2270,0,8,0,1995,0,47.3266,-122.169
8091400200,252700.0,2,1.5,1.0,1070,0,7,0,1985,0,47.3533,-122.166
3814700200,329000.0,3,2.25,2.0,2450,0,8,0,1985,0,47.3739,-122.17200000000001
1202000200,233000.0,3,2.0,1.5,1710,0,6,0,1941,0,47.3048,-122.21799999999999
1794500383,937000.0,3,1.75,2.0,2450,0,8,0,1915,0,47.6386,-122.36
3303700376,667000.0,3,1.0,1.5,1400,0,8,0,1909,0,47.6221,-122.314
5101402488,438000.0,3,1.75,1.0,1520,0,7,0,1948,0,47.695,-122.304
1873100390,719000.0,4,2.5,2.0,2570,0,8,0,2005,0,47.7073,-122.11
8562750320,580500.0,3,2.5,2.0,2320,0,8,0,2003,0,47.5391,-122.07
2426039314,280000.0,2,1.5,3.0,1190,0,7,0,2005,0,47.7274,-122.35700000000001
461000390,687500.0,4,1.75,1.5,2330,0,7,0,1929,0,47.6823,-122.368
7589200193,535000.0,3,1.0,1.5,1090,0,8,0,1929,0,47.6889,-122.375
7955080270,322500.0,4,2.75,1.0,2060,0,7,0,1981,0,47.4276,-122.15700000000001
9547205180,696000.0,3,2.5,1.5,2300,0,8,0,1930,2002,47.6827,-122.31
9435300030,550000.0,4,1.0,1.0,1660,0,5,0,1933,0,47.6621,-122.132
2768000400,640000.0,4,2.0,2.0,2360,0,8,0,1904,0,47.6702,-122.36200000000001
7895500070,240000.0,4,1.0,1.0,1220,0,7,0,1969,0,47.3341,-122.28200000000001
2078500320,605000.0,4,2.5,2.0,2620,0,8,0,1996,0,47.5301,-122.18
5547700270,625000.0,4,2.5,2.0,2570,0,9,0,2000,0,47.6145,-122.027
7766200013,775000.0,4,2.25,1.0,4220,0,8,0,1984,0,47.445,-122.34700000000001
7203220400,861990.0,5,2.75,2.0,3595,0,9,0,2014,0,47.6848,-122.016
9270200160,685000.0,3,1.0,2.0,1570,0,7,0,1922,0,47.6413,-122.36399999999999
1432701230,309000.0,3,1.0,1.0,1280,0,6,0,1959,0,47.4485,-122.175
8035350320,488000.0,3,2.5,2.0,3160,0,8,0,2003,0,47.7443,-121.977
8945200830,210490.0,3,1.0,1.0,990,0,6,0,1966,0,47.3066,-122.37100000000001
4178300310,785000.0,4,2.5,2.0,2290,0,9,0,1981,0,47.6194,-122.15100000000001
9215400105,450000.0,3,1.75,1.0,1250,0,7,0,1953,0,47.6796,-122.301
822039084,1350000.0,3,2.5,1.0,2753,2,9,1,1953,0,47.4041,-122.45100000000001
5245600105,228000.0,3,1.0,1.0,1190,0,7,0,1955,0,47.4258,-122.322
7231300125,345000.0,5,2.5,1.0,3150,0,8,0,1966,0,47.4934,-122.189
7518505990,600000.0,3,1.75,1.0,1410,0,7,0,1950,0,47.6808,-122.384
3626039271,585000.0,2,1.75,1.0,1980,0,7,0,1981,0,47.6989,-122.369
4217401195,920000.0,5,2.25,1.5,2730,0,8,0,1927,0,47.6571,-122.281
9822700295,885000.0,4,2.5,2.0,2830,0,9,0,1995,0,47.6597,-122.29
9478500640,292500.0,4,2.5,2.0,2250,0,7,0,2008,0,47.3663,-122.11399999999999
2799800710,301000.0,3,2.5,2.0,2420,0,8,0,2003,0,47.3663,-122.12200000000001
7922800400,951000.0,5,3.25,2.0,3250,4,8,0,1968,0,47.588,-122.116
8079040320,430000.0,4,3.0,2.0,1850,0,8,0,1991,0,47.5059,-122.149
1516000055,650000.0,3,2.25,1.0,2150,3,8,0,1959,0,47.4336,-122.339
9558200045,289000.0,3,1.75,1.0,1260,0,7,0,1954,0,47.4366,-122.335
5072410070,505000.0,3,1.75,2.0,2519,0,8,0,1973,0,47.4428,-122.344
9528102996,549000.0,3,1.75,3.0,1540,0,8,0,2014,0,47.6765,-122.32
1189001180,425000.0,3,2.25,1.0,1660,0,7,0,1979,0,47.6113,-122.29700000000001
3253500160,317625.0,3,2.75,1.5,2770,0,7,0,1925,0,47.5747,-122.304
3394100030,975000.0,4,2.5,2.0,2720,0,10,0,1989,0,47.5815,-122.19200000000001
3717000160,287000.0,4,2.5,2.0,2240,0,7,0,2005,0,47.3378,-122.257
1274500060,204000.0,3,1.0,1.0,1000,0,7,0,1968,0,47.3621,-122.11
1802000060,1325000.0,5,2.25,1.0,3200,0,8,0,1965,0,47.6303,-122.215
1525059190,1040000.0,5,3.25,1.0,4770,0,11,0,1973,0,47.6525,-122.16
1049000060,325000.0,3,2.0,1.0,1260,0,7,0,1972,0,47.7362,-122.179
8820901275,571000.0,4,2.0,1.5,2750,0,7,0,1916,0,47.7168,-122.287
5416510140,360000.0,4,2.5,2.0,2380,0,8,0,2005,0,47.3608,-122.036
3444100400,349000.0,3,1.75,1.0,1790,0,7,0,1965,0,47.3511,-122.073
3276920270,832500.0,4,4.0,2.0,3430,0,10,0,1986,0,47.5822,-121.98700000000001
4036801170,380000.0,4,1.75,1.0,1760,0,7,0,1956,0,47.6034,-122.125
2391600320,480000.0,3,1.0,1.0,1040,0,7,0,1941,0,47.5636,-122.39399999999999
6300000287,410000.0,3,1.0,1.0,1410,0,7,0,1956,0,47.7073,-122.34
1531000030,720000.0,4,2.5,2.0,3450,0,10,0,2002,0,47.342,-122.025
5104520400,390000.0,3,2.5,2.0,2350,0,8,0,2003,0,47.3512,-122.008
7437100340,360000.0,4,2.5,2.0,1900,0,7,0,1992,0,47.349,-122.031
9418400240,355000.0,2,1.0,1.0,2020,0,7,0,1948,0,47.5474,-122.291
1523059105,356000.0,3,1.5,1.0,1680,0,8,0,1964,0,47.4811,-122.149
1133000671,315000.0,3,1.0,1.0,960,0,6,0,1952,0,47.7264,-122.31
4232902595,940000.0,3,1.5,2.0,2140,0,9,0,1925,0,47.6337,-122.365
2599001200,305000.0,5,2.25,1.5,2660,0,7,0,1961,0,47.2909,-122.189
3342103156,461000.0,3,3.25,2.0,2770,0,9,0,2006,0,47.5228,-122.199
1332700270,215000.0,2,2.25,2.0,1610,0,7,0,1979,0,47.518,-122.194
3869900162,335000.0,2,1.75,2.0,1030,0,7,0,2006,0,47.5394,-122.387
2791500270,243500.0,4,2.5,2.0,1980,0,7,0,1988,0,47.2897,-122.37200000000001
5036300431,1099880.0,5,2.75,2.0,3520,0,10,0,2001,0,47.6506,-122.391
4168000060,153000.0,3,1.0,1.0,1200,0,7,0,1962,0,47.321999999999996,-122.351
6021501535,430000.0,3,1.5,1.0,1580,0,8,0,1939,0,47.687,-122.38600000000001
6021501535,700000.0,3,1.5,1.0,1580,0,8,0,1939,0,47.687,-122.38600000000001
1483300570,905000.0,4,2.5,1.0,3300,0,7,0,1946,1991,47.5873,-122.249
3422049190,247500.0,3,1.75,1.0,1960,0,7,0,1967,0,47.3576,-122.277
1099611230,199000.0,4,1.5,1.0,1160,0,7,0,1975,0,47.3036,-122.37799999999999
722079104,314000.0,3,1.75,1.0,1810,0,7,0,1980,0,47.4109,-121.958
7338200240,437500.0,3,2.5,2.0,2320,2,9,0,1992,0,47.4838,-121.714
1952200240,850830.0,3,2.5,1.5,2070,0,9,0,1910,0,47.6415,-122.315
5200100125,555000.0,3,2.0,1.5,1980,0,7,0,1929,0,47.6775,-122.37200000000001
